rank	gene_id	symbol	u_stat_igha1_vs_ighg1	pvalue	mean_log1p_igha1	mean_log1p_ighg1	diff_mean_log1p_igha1_minus_ighg1	mean_norm_igha1	mean_norm_ighg1	log2fc_norm_igha1_vs_ighg1	pct_detected_igha1	pct_detected_ighg1	qvalue_bh
1	ENSG00000211890	IGHA2	4200.0	1.5718927678197277e-21	3.962985496434545	0.3218724060927634	3.6411130903417814	72.10493414757318	1.0232283690345663	6.138897911455594	1.0	0.304	1.7386705904854007e-17
2	ENSG00000211892	IGHG4	0.0	3.583129754501938e-19	0.14884340322810563	3.342103948866818	-3.1932605456387124	0.2518189171122036	38.997009235850946	-7.274833003826297	0.17647058823529413	1.0	1.9816499107272968e-15
3	ENSG00000211897	IGHG3	28.0	1.1024321060015488e-18	0.29690418566105786	3.854465259606805	-3.5575610739457475	0.8479634600748824	66.65391663402335	-6.296543741348711	0.29411764705882354	0.992	4.064667174827711e-15
4	ENSG00000211896	IGHG1	50.0	2.9165931996692912e-18	1.6251302152801774	6.03635131749907	-4.411221102218893	14.587531079953514	594.4399477761738	-5.348723436739947	0.9411764705882353	1.0	8.065109345385507e-15
5	ENSG00000211895	IGHA1	4161.0	1.2199098537996906e-17	6.16778837810144	2.3255739869490557	3.842214391152384	671.8175340244607	16.27783399194495	5.367088803987556	1.0	0.952	2.6986845785756757e-14
6	ENSG00000253755	IGHGP	136.5	5.562881965917693e-17	0.27128083566432337	2.9407534405633644	-2.669472604899041	1.882546961110613	26.9184497455018	-3.8378375664611903	0.20588235294117646	0.992	1.0255172904169266e-13
7	ENSG00000136156	ITM2B	804.5	2.9178943477494877e-08	1.180999808911842	2.0516871566244874	-0.8706873477126453	3.259273360865757	8.509023229319766	-1.384443172337504	0.7941176470588235	0.96	4.6106899114938686e-05
8	ENSG00000004468	CD38	919.0	4.102982544717707e-07	2.8193079366986553	3.2532664883137836	-0.4339585516151283	17.089725916193167	28.673956643262226	-0.746611732585212	1.0	0.984	0.000567288624089032
9	ENSG00000137267	TUBB2A	2437.5	1.4567238118322784e-05	0.11527757708844005	0.0	0.11527757708844005	0.18954620760688942	0.0	27.49797435842601	0.14705882352941177	0.0	0.017903135647418703
10	ENSG00000254098	IGKV2-26	1125.0	2.3848646039881492e-05	1.6261076384304456	4.198801597007304	-2.572693958576858	103.00397305473714	369.1904937094027	-1.841665419567758	0.5882352941176471	0.816	0.02637898738471292
11	ENSG00000119729	RHOQ	3041.5	8.963330362578504e-05	1.1313590098683024	0.6306809000799102	0.5006781097883922	2.737742022374678	1.2892268791967998	1.0864803344614449	0.9117647058823529	0.608	0.09013036103680075
12	ENSG00000262454	MIR193BHG	2713.0	0.00012694281918489673	0.26904082807336255	0.08475746132162658	0.18428336675173596	0.3969315226118798	0.14783781955591743	1.4248747495926366	0.38235294117647056	0.104	0.110522027038472
13	ENSG00000261386	AC027682.4	2626.0	0.00013241472758827248	0.23161808710753531	0.042802929091835515	0.1888151580156998	0.37347500656351246	0.0629463586173259	2.5688168531135784	0.29411764705882354	0.064	0.110522027038472
14	ENSG00000213096	ZNF254	2740.0	0.00015579465573783264	0.3324624318875514	0.09641428869219397	0.23604814319535744	0.5466627365416985	0.15544080654226106	1.814285738602575	0.4117647058823529	0.128	0.110522027038472
15	ENSG00000117318	ID3	2466.0	0.0001592231133185715	0.11912749137059642	0.013266552252554461	0.10586093911804195	0.17596908782348997	0.023627328597833678	2.8967935359301373	0.17647058823529413	0.016	0.110522027038472
16	ENSG00000081985	IL12RB2	2503.0	0.00016413381770859545	0.12661576875640937	0.028327955721724564	0.09828781303468481	0.17902845286678004	0.059646243908388956	1.5856856807639843	0.20588235294117646	0.024	0.110522027038472
17	ENSG00000227039	ITGB2-AS1	2421.0	0.0001698647915788829	0.11017459309210678	0.00459935331909364	0.10557523977301314	0.19112770288923941	0.006215895025380517	4.942430729674696	0.14705882352941177	0.008	0.110522027038472
18	ENSG00000166501	PRKCB	3006.0	0.00018892184317215817	1.3014239613140244	0.8083619407625064	0.49306202055151793	3.4359175741982138	1.729463739542973	0.9903706609547962	0.8823529411764706	0.696	0.11413557540185473
19	ENSG00000132465	JCHAIN	3012.0	0.00019605604670782387	6.303670827232424	5.718837908259459	0.5848329189729649	588.4424210765799	407.01487992275196	0.5318197164018164	1.0	1.0	0.11413557540185473
20	ENSG00000211955	IGHV3-33	2998.0	0.00022200507858280752	3.2230559982902633	2.0285177233750438	1.1945382749152196	38.63492710680374	21.364545585240453	0.8546870441295732	0.9411764705882353	0.704	0.12277990871022171
21	ENSG00000197372	ZNF675	2671.0	0.00023394678135937712	0.2764339949205124	0.07532340719910774	0.20111058772140467	0.4349686174034831	0.11885618153143356	1.8716943691053953	0.35294117647058826	0.096	0.12322311183886049
22	ENSG00000124201	ZNFX1	2709.5	0.00026925665361828905	0.3261780963573208	0.08700514947932292	0.2391729468779979	0.547813022555686	0.12595239833048286	2.120804959728885	0.38235294117647056	0.128	0.13537490207599523
23	ENSG00000145365	TIFA	2958.0	0.00029105947083474297	0.896777496376322	0.5201088057907278	0.37666869058559416	1.7357747706197362	1.0342043084682382	0.7470585390291191	0.8529411764705882	0.52	0.13997429595230834
24	ENSG00000166454	ATMIN	2816.5	0.00031935975035610523	0.3894005698918473	0.1707813626441437	0.2186192072477036	0.5823534454293461	0.2746275673368875	1.0844185736194867	0.5588235294117647	0.224	0.14718492494537
25	ENSG00000100629	CEP128	1282.0	0.00037337589686712897	0.7136668799521337	1.291065650023311	-0.5773987700711773	1.5041404654038661	4.2689537118088206	-1.5049432183530853	0.6176470588235294	0.824	0.16519643180989252
26	ENSG00000197705	KLHL14	1322.0	0.0004348689015824702	0.36001165844761673	1.053314003417059	-0.6933023449694422	0.808116787026432	4.774515383116737	-2.562718596617693	0.3235294117647059	0.632	0.18500326616937318
27	ENSG00000168795	ZBTB5	2489.5	0.0005091088572061839	0.14983033987718763	0.0272403821895403	0.12258995768764733	0.2304140326316076	0.044532804969883745	2.371288165852066	0.20588235294117646	0.032	0.20519156097841645
28	ENSG00000117090	SLAMF1	2873.0	0.0005194253419578393	0.9213389921653103	0.3832700560890195	0.5380689360762909	2.890499199186117	0.7509537295086108	1.94452274821495	0.6470588235294118	0.376	0.20519156097841645
29	ENSG00000137094	DNAJB5	2454.0	0.0005693742497377994	0.1293891336584332	0.01335063578356656	0.11603849787486663	0.19851735386334776	0.01795750195948341	3.4666064783452373	0.17647058823529413	0.024	0.21716719228792414
30	ENSG00000167799	NUDT8	2527.0	0.0006001438524134345	0.18443101384257646	0.03549351597899748	0.148937497863579	0.29051728982201225	0.055632877284215516	2.3846143780806206	0.23529411764705882	0.048	0.22127303838483328
31	ENSG00000105974	CAV1	1316.0	0.0006574899364562845	0.7758600874805865	1.1902383271752361	-0.4143782396946496	1.5847610862126729	3.0910558537478217	-0.963834362308492	0.7647058823529411	0.832	0.2345966511981601
32	ENSG00000197747	S100A10	2930.0	0.0006934473007732377	1.6222911215893552	1.1223586441806623	0.49993247740869284	5.604355762717134	3.58028186032408	0.6464753711621519	0.9117647058823529	0.776	0.23587561304725552
33	ENSG00000178996	SNX18	2776.0	0.0007037243676484433	0.3853251058180956	0.17253438166167065	0.21279072415642494	0.5778999226359864	0.2681809262759575	1.1076130412228826	0.5294117647058824	0.232	0.23587561304725552
34	ENSG00000092098	RNF31	2767.0	0.000763291951264325	0.4413186473665047	0.17793679558048356	0.26338185178602114	0.7525912414830735	0.28394875571349015	1.4062359067532304	0.5	0.232	0.2396980141250401
35	ENSG00000085741	WNT11	2446.0	0.0007741297752930512	0.12526026225961265	0.026444621163893345	0.0988156410957193	0.18422169294347174	0.05729525493702748	1.6849553696828867	0.17647058823529413	0.024	0.2396980141250401
36	ENSG00000124155	PIGT	1328.5	0.0008046425383184391	0.7992017506644489	1.1620721270879162	-0.3628703764234673	1.5876108469820547	2.7108772857034857	-0.7719024828983535	0.7352941176470589	0.864	0.2396980141250401
37	ENSG00000142583	SLC2A5	1359.5	0.0008163197724413339	0.2808721182083604	0.6532626655310588	-0.37239054732269844	0.4927144007349554	1.3024894962216313	-1.402448192752161	0.3235294117647059	0.64	0.2396980141250401
38	ENSG00000180644	PRF1	2552.5	0.0008249792390803931	0.284628683711649	0.07023974586132926	0.21438893785031976	0.5626171285035667	0.15101450911891098	1.8974663012648982	0.2647058823529412	0.064	0.2396980141250401
39	ENSG00000100219	XBP1	1330.0	0.0008451516635816439	3.299793170721339	3.6548527998011915	-0.35505962907985245	32.036092801013965	46.946805662533194	-0.5513287939571749	1.0	0.992	0.2396980141250401
40	ENSG00000108604	SMARCD2	2828.0	0.0008773961943164612	0.5574425792353901	0.2702775623325369	0.2871650169028532	0.9509261497038449	0.43343099363108656	1.1335309809974796	0.6470588235294118	0.336	0.2426219826333594
41	ENSG00000156030	ELMSAN1	2746.0	0.0009463827370876327	0.44384373616506223	0.16828779347300932	0.2755559426920529	0.9076406333727668	0.26853089419164217	1.7570331151524032	0.5	0.216	0.2553155964616172
