	A	B	C	D	E	F	G	H	I	J
c5171	0	0	0	1	0	1	0	1	0	0
c5004	0	0	0	0	0	0	0	0	4	1
c5215	0	0	0	0	0	0	0	0	1	0
c5183	4	0	0	0	1	1	0	3	1	0
c5184	0	0	0	0	0	0	0	4	1	0
c5058	0	0	8	2	0	1	0	1	0	0
c4920	5	0	8	1	0	0	1	0	2	0
c5214	0	1	0	0	0	0	0	0	0	8
c5141	0	7	0	12	0	0	0	1	0	0
c5142	2	0	3	0	0	1	0	0	1	0
c5391	0	2	0	1	1	2	0	0	2	0
c5392	9	2	3	0	0	0	0	0	0	1
c4997	0	1	3	4	2	0	0	0	0	0
c5259	0	7	6	0	0	0	0	0	1	0
c5260	4	0	0	3	0	0	0	1	0	2
c4989	9	0	1	0	1	0	2	0	4	2
c4990	0	0	1	0	0	0	0	1	0	0
c5255	0	2	0	3	2	3	5	0	0	1
c5256	0	0	0	0	2	4	0	0	2	0
c5246	0	0	7	2	0	0	0	0	1	2
c5122	2	7	2	1	0	0	0	0	1	1
c5024	1	3	0	0	0	1	1	0	3	0
c5385	1	1	1	0	0	1	1	0	2	0
c5333	1	2	0	0	0	0	0	0	2	1
c4965	0	3	0	0	0	0	0	0	3	0
c4978	0	3	0	1	0	0	0	0	0	0
c5397	3	0	3	0	0	1	0	0	10	0
c5106	0	0	0	1	1	0	3	4	0	0
c5230	0	1	0	2	0	0	1	0	0	2
c5130	0	2	0	6	0	1	0	2	1	3
c5063	0	4	0	0	0	1	0	2	0	0
c5408	15	0	0	0	2	2	0	0	1	0
c5140	0	1	0	0	1	0	0	2	0	1
c4958	3	0	0	0	0	0	0	0	2	0
c5124	2	0	1	5	3	3	2	0	1	0
c5043	8	0	0	1	0	1	0	0	1	5
c5524	0	0	2	0	0	0	1	0	1	0
c5532	0	0	0	0	3	0	0	0	0	3
c5483	0	0	0	0	1	1	0	0	4	2
c5484	0	1	0	0	0	0	0	0	1	4
c5434	0	0	0	1	0	1	0	0	1	2
c5472	1	0	1	0	0	0	0	1	0	0
c5436	0	0	0	4	1	0	1	0	0	0
c5515	1	2	0	1	0	0	1	0	0	0
c5529	0	0	0	0	0	8	1	1	0	2
c5419	0	0	0	0	3	0	4	0	3	1
c5533	3	0	0	1	0	3	0	0	0	0
c5534	0	2	0	0	0	5	0	0	3	0
c5485	1	0	1	1	0	1	0	2	4	0
